"NUMBER","NAME","SUBGROUP","NEW_NAME","COVERAGE","GLOTTOLOG","LON","LAT","SOURCE"
31,"Motuo_Menba","Bodic","Bodic_Tshangla",217,"tsha1245",95.340883,29.325414,"Huang1992,Hill2017"
9,"Achang_Longchuan","Burmish","Burmish_Achang",197,"acha1249",97.89503,24.466605,"Huang1992,Hill2017"
10,"Atsi","Burmish","Burmish_Atsi",197,"zaiw1241",97.806689,24.193367,"Huang1992,Hill2017"
26,"Bola","Burmish","Burmish_Bola",214,"pela1242",98.234243,24.405004,"Huang1992,Hill2017"
11,"Lashi","Burmish","Burmish_Lashi",197,"lash1243",98.311333,24.111512,"Huang1992,Hill2017"
22,"Maru","Burmish","Burmish_Maru",213,"maru1249",99.83,24.939981,"Huang1992,Hill2017"
25,"Old_Burmese","Burmish","Burmish_Old_Burmese",214,"oldb1235",97.126742,21.624974,"Hill2017"
27,"Rangoon","Burmish","Burmish_Rangoon",216,"nucl1310",96.190785,16.874207,"Huang1992,Hill2017"
5,"Xiandao","Burmish","Burmish_Xiandao",190,"xian1249",97.753173,24.494153,"Huang1992,Hill2017"
14,"Chepang","Chepang","Chepang_Chepang",202,"chep1245",84.908801,27.785164,"Caughley2000"
35,"Hakha_Chin","Chin","Chin_Hakha",222,"haka1240",92.820021,22.870089,"VanBik2014"
30,"Darang_Taraon","Deng","Deng_Darang_Taraon",217,"diga1241",97.469136,28.657986,"Huang1992"
23,"Yidu","Deng","Deng_Yidu",213,"idum1241",95.650179,29.448172,"Huang1992"
16,"Garo","Garo","Garo_Garo",206,"garo1247",90.333226,25.504744,"Burling2003"
44,"Jingpho","Jingpho","Jingpho_Jingpho",225,"jing1260",97.329866,25.461826,"Huang1992"
37,"Wobzi_Khroskyabs","rGyalrong","Khroskyabs_Wobzi",224,"eree1240",101.427999,31.62758,"Lai2017"
2,"Bahing","Kiranti","Kiranti_Bahing",178,"bahi1252",86.430334,27.309472,"Michailovsky1989"
7,"Bantawa","Kiranti","Kiranti_Bantawa",195,"bant1281",87.049995,27.117894,"Jongens2009"
1,"Hayu","Kiranti","Kiranti_Hayu",177,"wayu1241",86.099009,27.302102,"Michailovsky1989a"
20,"Khaling","Kiranti","Kiranti_Khaling",212,"khal1275",87.510016,27.390595,"Jacques2017FN"
8,"Kulung","Kiranti","Kiranti_Kulung",195,"kulu1253",86.910944,27.690037,"Tolsma1999"
12,"Limbu","Kiranti","Kiranti_Limbu",198,"limb1266",87.889909,27.272065,"Jacques2017FN"
18,"Thulung","Kiranti","Kiranti_Thulung",210,"thul1246",87.609608,27.534944,"Allen1975"
49,"Rabha","Koch","Koch_Rabha",,"rabh1238",91.170064,25.820135,"Joseph2007"
40,"Lisu","Loloish","Loloish_Lisu",224,"lisu1250",98.848486,25.950046,"Huang1992"
50,"Mikir","Mikir","Mikir_Karbi",,"karb1241",93.050494,25.735084,"Walker1925,KonnerthFC,GruessnerNoDate"
13,"Lushai","Mizo","Mizo_Lushai",200,"lush1249",92.629457,22.60535,"Lorrain1940"
3,"Ukhrul","Naga","Naga_Ukhrul",190,"ukhr1238",94.37045,25.092617,"Mortensen2012"
39,"Dulong","Nungic","Nungic_Dulong",224,"drun1238",98.691868,27.749017,"Huang1992"
38,"Zhaba_Daofu_County","Qiangic","Qiangic_Zhaba",224,"zhab1238",101.058397,30.538892,"Huang1992"
36,"Daofu","rGyalrong","rGyalrong_Daofu",223,"horp1240",101.123742,30.975281,"Huang1992"
42,"Japhug","rGyalrong","rGyalrong_Japhug",225,"japh1234",101.957636,32.207076,"Jacques2015b"
47,"rGyalrong_Maerkang","rGyalrong","rGyalrong_Maerkang",225,"situ1238",102.295293,31.868614,"Huang1992"
32,"Beijing","Sinitic","Sinitic_Beijing",217,"beij1235",116.397422,39.909056,"Lai2017FN"
15,"Chaozhou","Sinitic","Sinitic_Chaozhou",205,"chao1238",116.622317,23.657699,"Lai2017FN"
33,"Guangzhou","Sinitic","Sinitic_Guangzhou",218,"guan1279",113.258099,23.131111,"Lai2017FN"
24,"Jieyang","Sinitic","Sinitic_Jieyang",213,"chao1239",116.373013,23.551122,"Lai2017FN"
19,"Longgang","Sinitic","Sinitic_Longgang",211,"hakk1236",114.243825,22.725545,"Lai2017FN"
34,"Old_Chinese","Sinitic","Sinitic_Old_Chinese",221,"oldc1244",108.777868,34.101745,"Baxter2014"
21,"Xingning","Sinitic","Sinitic_Xingning",212,"hakk1236",115.732382,24.13674,"Lai2017FN"
48,"Tangut","Tangut","Tangut","???","tang1334",106.285383,38.477453,"Li1997"
43,"Bokar","Tani","Tani_Bokar",225,"boka1249",93.15717,27.554547,"Huang1992"
17,"Tibetan_Alike","Tibetan","Tibetan_Alike",209,"amdo1237",92.839938,38.318508,"Huang1992"
